"level";"id";"parent_id";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message";"type";"metadata.type";"talking_about_count";"likes";"likes.count";"shares.count";"comments.count";"created_time";"updated_time"
"0";"1";"None";"agenciasixtec";"seed";"";"None";"None";"";"";"";"";"";"";"";"";"";"";""
"1";"2";"1";"633808613672970_1471890109864812";"data";"fetched (200)";"2021-12-02 00:30:32.797000";"Facebook:<user>/posts";"";"";"";"";"";"";"";"";"";"2021-11-18T21:13:12+0000";""
"1";"3";"1";"633808613672970_1466763937044096";"data";"fetched (200)";"2021-12-02 00:30:32.797000";"Facebook:<user>/posts";"";"TBT... 😍 . O início a gente nunca esquece!!! 🥳 . #tbt #agenciasixtec";"";"";"";"";"";"";"";"2021-11-11T20:27:49+0000";""
"1";"4";"1";"633808613672970_1465358743851282";"data";"fetched (200)";"2021-12-02 00:30:32.797000";"Facebook:<user>/posts";"";"";"";"";"";"";"";"";"";"2021-11-09T22:03:59+0000";""
"1";"5";"1";"633808613672970_1465358513851305";"data";"fetched (200)";"2021-12-02 00:30:32.797000";"Facebook:<user>/posts";"";"";"";"";"";"";"";"";"";"2021-11-09T22:03:28+0000";""
"1";"6";"1";"633808613672970_1464507363936420";"data";"fetched (200)";"2021-12-02 00:30:32.797000";"Facebook:<user>/posts";"";"";"";"";"";"";"";"";"";"2021-11-08T15:37:10+0000";""
"1";"7";"1";"633808613672970_1462595670794256";"data";"fetched (200)";"2021-12-02 00:30:32.797000";"Facebook:<user>/posts";"";"Hoje comemoramos o dia do designer 😎 . ""A arte de emocionar sem texto e cativar sem ação"" . Nossos parabéns, a todos os designers 🥳👏👏  . #agenciasixtec #diadodesigner #designer #designerlogo";"";"";"";"";"";"";"";"2021-11-05T19:40:07+0000";""
"1";"8";"1";"633808613672970_1459755327744957";"data";"fetched (200)";"2021-12-02 00:30:32.797000";"Facebook:<user>/posts";"";"Mê de combate ao Câncer de Próstata . Cuidar da saúde também é coisa de cabra macho! 💪 . Previna-se! . #agenciasixtec #novembroazul #campanhanovembroazul";"";"";"";"";"";"";"";"2021-11-01T20:46:22+0000";""
"1";"9";"1";"633808613672970_1450548091999014";"data";"fetched (200)";"2021-12-02 00:30:32.797000";"Facebook:<user>/posts";"";"Hoje comemoramos o Dia do Profissional de Informática! 😎 . Parabéns guerreiros técnicos de informática 😁👏👏 . #diadoprofissionaldeinformatica #agenciasixtec #marketingdigital #ti #tecnicodeinformatica #designergrafico";"";"";"";"";"";"";"";"2021-10-19T14:27:23+0000";""
"1";"10";"1";"633808613672970_1441382269582263";"data";"fetched (200)";"2021-12-02 00:30:32.797000";"Facebook:<user>/posts";"";"Nós criamos artes digitais relacionadas a divulgação e apresentação de empresas, profissionais, produtos e serviços. . ✅Como: - Arte para redes sociais - Arte para eventos - Arte para outdoors - Arte plotagem de veículos - Arte para impressos - E para o que mais precisar 😁 . Então, se precisar de materiais publicitários já sabe ne!? 🤭 . ✅Manda um zap!!! . Link na BIO . Agência Sixtec | Mais que uma agência, uma parceira!⠀⠀⠀⠀⠀ .⠀⠀⠀⠀⠀ Visite nosso site: sixtec.com.br . #marketingdigital #designergrafico #socialmedia #socialmediamanager #gestaoderedessociais #agenciasixtec";"";"";"";"";"";"";"";"2021-10-06T19:18:31+0000";""
